정류장명,위도,경도
혁신에코르1단지,35.840749,127.053049
혁신에코르1단지,35.84101,127.05336
혁신이노힐스아파트후문,35.838727,127.052942
혁신이노힐스아파트후문,35.838792,127.053269
혁신농협지점사거리,35.838275,127.057657
혁신농협지점사거리,35.83853584,127.05748
혁신도시상가,35.837253,127.058457
혁신도시상가,35.837305,127.058714
온빛초등학교,35.84257278,127.0574437
온빛중학교,35.842652,127.057775
안심마을.한국농수산대학,35.825116,127.068805
안심마을.한국농수산대학,35.8248626,127.068046
원산파크,35.817554,127.159426
원산파크,35.817541,127.159324
혁신호반3차아파트,35.833171,127.06609
혁신호반3차아파트,35.83291,127.066734
호반2차아파트,35.843049,127.063649
호반2차아파트,35.843058,127.06337
중리,36.00733873,127.1345139
중리,36.00745028,127.1346852
동리,36.01249756,127.1304568
동리,36.01257825,127.1306244
명곡,36.018054,127.1283243
명곡,36.01822566,127.128033
천호동,36.0283499,127.1278125
원구암,35.94076091,127.1070222
농원종점,35.92735564,127.0886679
양야리경로당,35.93277841,127.2057394
유일여고,35.8372132,127.159554
신덕신기마을,35.70820839,127.1538381
학산마을,35.70044302,127.1600624
신흥마을,35.6819711,127.1566271
신덕삼거리,35.6686885,127.1522667
입석마을,35.92538892,127.2715248
입석마을,35.92534786,127.2717463
둔산라송아파트,35.9605152,127.1221577
정농마을,35.83717633,127.0210179
비아마을입구,35.77897196,127.099568
도도리입구,35.87607406,127.0175811
전북선거관리위원회,35.813544,127.104499
전북선거관리위원회,35.813757,127.103754
송광마을,35.88677485,127.2432456
송광마을,35.8868534,127.2434009
국립무형유산원,35.810773,127.157902
아태문화재단,35.81050907,127.1574334
교육대학교,35.810424,127.154367
교육대학교,35.8100311,127.1522655
초당골,35.62031571,127.103788
초당골,35.62017053,127.1036572
서곡솔병원,35.831756,127.094972
서곡솔병원,35.830664,127.094977
서곡그린공원,35.8318029,127.1037788
척동마을,35.82781526,127.0971607
척동마을,35.8280696,127.0974234
대진빌딩,35.82265835,127.1017786
대진빌딩,35.822809,127.102048
원반교,35.8371759,127.0232096
삼성문화회관,35.8436702,127.1307982
성덕교(삭제),35.70104394,127.1200108
망산마을,35.71208835,127.120745
망산마을,35.7119607,127.1205204
여차마을,35.81858937,127.0383786
여차마을,35.81838986,127.0382261
여우치,35.6011782,127.1041787
여우치,35.6010317,127.1038713
예술고,35.72349125,127.1123216
율소리,35.95222414,127.1803141
율소리,35.95252189,127.1805736
화정마을,35.95383055,127.1918711
화정마을,35.95396589,127.1918825
산림항공관리소익산지점,35.9542331,127.1050827
산림항공관리소익산지점,35.9540793,127.1049282
제상마을,35.95487204,127.1444716
대륜산업,35.95519702,127.1317823
제상마을,35.95518681,127.1447903
정우정공,35.95522409,127.1272441
현대자동차출고장,35.95523386,127.1390251
산업단지 한전,35.95526671,127.1228018
현대자동차출고장,35.95541702,127.1390486
산업단지 한전,35.95548711,127.1227556
대륜산업,35.95550766,127.1323225
현대자동차출고장,35.9555686,127.1394679
정우정공,35.95554824,127.1272306
현대자동차출고장,35.95554154,127.1397998
신덕마을,35.95646969,127.1814622
신덕마을,35.95665088,127.1816041
은상,35.95691993,127.1644528
용암마을,35.95704589,127.1378188
새완주병원,35.95779273,127.1245334
새완주병원,35.95784511,127.1243201
신봉리,35.96466687,127.1291631
신봉리,35.96363608,127.1304389
통샘,35.9607507,127.1075344
통샘,35.9608676,127.1074451
둔산라송아파트,35.96051358,127.1218746
고산신기마을,35.96087152,127.1807755
고산신기마을,35.96095614,127.1805908
추동,35.9611091,127.1514258
추동,35.96117766,127.1516132
둔산코아루1차아파트,35.96138092,127.1270387
통정교,35.961621,127.111006
산장마을,35.96151374,127.116517
통정교,35.961783,127.111008
산장마을,35.96180929,127.1164757
둔산코아루2차아파트,35.96190743,127.1227581
봉서초교 코아루아파트,35.96191937,127.1247366
봉서초교 코아루아파트,35.96225443,127.1245691
코아루종점.청완초교,35.96221094,127.1210471
코아루종점,35.96205084,127.1213371
신하리,35.96657528,127.1368279
신하리,35.96671451,127.1368724
역기마을,35.96677988,127.1074837
어우리,35.96742545,127.1783773
어우리,35.96762326,127.1783087
어우리,35.96945522,127.1823067
봉산마을,35.96993155,127.1729352
어우리,35.96994821,127.1825321
봉산마을,35.96999628,127.1722063
제뱅이,35.97160192,127.1072438
월암리,35.97183107,127.1668061
율곡리,35.9724843,127.1862923
율곡리,35.97251846,127.1859678
장구리,35.97050218,127.1259946
제뱅이,35.97326991,127.107195
장구리,35.97046888,127.1263719
죽산마을,35.97410013,127.1625316
죽산마을,35.97425405,127.1625834
고산터미널,35.9748106,127.2069505
고산터미널,35.97519123,127.2058153
원산마을,35.97553862,127.192428
원산마을,35.97555817,127.192157
전강마을,35.97574805,127.1100731
전강마을,35.97587907,127.1100096
고산고입구,35.97591272,127.2010528
고산고입구,35.97611364,127.2011409
서봉마을,35.97681152,127.1962031
서봉마을,35.97702633,127.1962038
옥동마을,35.9772293,127.1213501
만동마을,35.97922195,127.1182119
만동마을,35.97938165,127.1180694
무관마을,35.98315002,127.1191534
무관마을,35.98303944,127.118822
용동,35.98068094,127.1552743
용동,35.98082199,127.1554236
탄광,35.98496147,127.1500341
탄광,35.98512408,127.1495927
새터,35.9887678,127.1177891
새터,35.98889346,127.1180655
신복,35.98946802,127.145814
신복,35.98965569,127.1458058
제촌,35.99138125,127.1092877
제촌,35.99144378,127.109085
신촌마을입구,35.99267068,127.1195799
문장마을,35.99215504,127.1421056
문장마을,35.9922916,127.141642
신촌마을입구,35.99276318,127.1192442
백제대,35.99473314,127.1277487
비봉종점,35.995154,127.139261
비봉종점,35.995354,127.139406
백제대,35.99493719,127.1276437
소농,35.99889557,127.1375783
소농,35.99889718,127.1377322
방곡마을,36.00467973,127.1364056
방곡마을,36.00473908,127.1361088
평화동도미소드림아파트,35.785898,127.129701
승암마을,35.809715,127.162183
구.통계청,35.794899,127.0846368
서서학우정목련아파트,35.80135462,127.1462202
봉동신진맨션아파트,35.9419505,127.1686741
삼천신일강변아파트,35.798608,127.11349
남노작은도서관,35.81934575,127.1571132
전북체육고 마수리,35.8650848,127.2472201
옥성골든카운티,35.766566,127.093915
평화동종점,35.77817471,127.1222542
평화동종점,35.77802464,127.1226872
문정마을,35.77781936,127.1279211
문정마을,35.77799535,127.127333
문정초교,35.774809,127.12813
문정초교,35.7748,127.127883
혁신이노힐스아파트,35.837927,127.05579
혁신이노힐스아파트,35.837583,127.055581
정동마을,35.94893902,127.1461076
중리,35.85760965,127.2948381
중리,35.85766334,127.2947712
대승리,35.85606078,127.2925109
율곡,35.84771254,127.2132734
율곡,35.84759487,127.213197
갈전,35.84002529,127.2195184
갈전,35.84266557,127.2172565
태실마을,35.74409607,127.1467764
태실마을,35.74398831,127.1468329
정동마을,35.94870281,127.1458442
서정마을,35.94689023,127.1469721
서정마을,35.94721309,127.1467469
은하교,35.94554302,127.1596016
플라즈마연구센터,35.95937433,127.1351189
백제대원룸단지,35.99298003,127.1224378
백제대원룸단지,35.99302858,127.1216831
백제대입구,35.98481421,127.1174937
백제대입구,35.98484455,127.1167171
만동,35.98063526,127.1203568
만동,35.98063754,127.1206672
난산삼거리,35.87805258,126.995885
난산삼거리,35.87778259,126.9959327
비봉파출소,35.99652724,127.1377811
비봉파출소,35.99660045,127.1379356
공술마을,35.88115799,126.9793666
공술마을,35.88103051,126.9792131
석담,35.88859441,126.9720603
석담,35.88793844,126.9722903
농촌진흥청동문,35.830127,127.05887
서신신일아파트,35.83286,127.11224
서신신일아파트,35.83289774,127.1119831
서곡로.서곡현대아파트,35.83291087,127.0994101
인후초교.노송신협,35.833078,127.162607
인후6거리,35.83310547,127.1518468
인후초교.노송신협,35.832869,127.162896
모래내시장,35.83301705,127.1449033
화평,35.8330179,127.1582734
이문리,35.83326306,127.0055468
기린네거리,35.83331422,127.1546116
이문리,35.83331727,127.0053797
인후6거리,35.83321244,127.1516796
기린대로금암광장,35.833234,127.137528
기린대로금암광장,35.83345839,127.1378359
거성고속맨션.자원봉사센터.고속버스터미널입구,35.833487,127.12747
기린초교,35.833587,127.158825
거성고속맨션.자원봉사센터.고속버스터미널입구,35.8335539,127.1272236
기린네거리,35.83345252,127.1550529
금암광장,35.833069,127.137297
KT정보센터,35.83375079,127.1185573
아중대우아파트,35.83358,127.1675838
금암광장.청담한방병원,35.83397242,127.1364796
서신광진아파트,35.8337847,127.1099467
기린초교,35.83379185,127.1590637
고속버스터미널.불교회관,35.83390745,127.1305492
서신중흥아파트,35.83408798,127.1153857
서신광진아파트,35.834017,127.111001
광진선수촌아파트,35.83396213,127.1178798
시외버스터미널,35.83411679,127.1335312
서곡현대아파트.서곡엘지아파트,35.8342444,127.0992055
고속버스터미널.불교회관,35.83411623,127.1307509
아중대우아파트,35.83422165,127.1676734
시외버스터미널,35.83437333,127.1332862
옥정마을,35.83448538,127.0366358
옥정마을,35.83468154,127.036715
도매다리,35.83462885,127.1565985
도매다리,35.834743,127.156502
서신로중흥아파트,35.834926,127.115647
도리실마을,35.83490254,126.9654276
서신로중흥아파트,35.834778,127.116065
가리내로 백제교,35.834991,127.124605
고용노동부전주지청,35.83496455,127.164976
전주시민기록관,35.835065,127.157446
유상마을,35.83479119,127.2694775
전주생명과학고등학교,35.83502944,127.1483505
동부대로아중천,35.834826,127.173159
유상마을,35.83485216,127.2692896
전주시민기록관,35.83507037,127.1571197
가리내로 백제교,35.83487104,127.1259193
덕동,35.83529928,127.0483234
덕동,35.83546518,127.0482309
서일초교,35.83544123,127.1141332
해교리,35.83570859,127.0206532
서곡마을,35.835631,127.098325
고속버스터미널후문,35.835574,127.129004
서일초교,35.83570818,127.1140049
고속버스터미널후문,35.83569905,127.129588
마교마을,35.83607146,126.9644728
마교마을,35.83616606,126.964635
산정리종점,35.83619416,127.0050073
산정리종점,35.8362964,127.0048869
전북대학병원내,35.8457004,127.1423653
하삼마을,35.98690747,127.2193823
삼기삼거리,35.98853342,127.2213292
종암마을,35.98882905,127.2322389
국제재활원,35.9894017,127.2386545
안남마을,35.98733534,127.2439753
소향보건진료소,35.98371558,127.2546734
신상,35.98609922,127.2582662
고산창포마을,35.98802108,127.260067
운용마을,35.99058347,127.2619728
유격대,35.98659012,127.2677545
운장계곡,35.97978451,127.2885867
제실마을,35.9741034,127.2805323
음수삼거리,35.95776022,127.2740956
수만마을,35.93053641,127.270266
수만마을,35.93059224,127.2705537
신월동상초등학교,35.95714843,127.2937221
신월삼거리,35.95809264,127.2948887
신월삼거리,35.95841904,127.2952184
서당리,35.91296292,127.1619405
고천마을,35.91300145,127.1397781
폐지승강장,35.91296978,127.17692
서당리,35.91337289,127.1629559
송정마을,35.91342974,127.1249714
송정마을,35.91345208,127.125244
후와마을,35.91391631,127.1076679
