공원명,공원구분,주소,위도,경도,면적
송천제2호공원,어린이공원,전북특별자치도 전주시 덕진구 송천동1가 844-10,35.8612642348,127.1173895657,2004.1
송천유적공원,어린이공원,전북특별자치도 전주시 덕진구 송천동1가 816-1,35.86501667,127.1187477,6760.6
나들목공원,근린공원,전북특별자치도 전주시 덕진구 용정동 124-41,35.8754524,127.0555936,56941
아중18호공원,어린이공원,전북특별자치도 전주시 덕진구 우아동2가 869-2,35.8344393,127.1692888,1500
하늘공원,근린공원,전북특별자치도 전주시 덕진구 덕진동2가 682,35.8452358,127.1071352,25864
쇠똥구리공원,어린이공원,전북특별자치도 전주시 덕진구 호반6길 26-5,35.85229684,127.1186639,1555
반딧불이공원,어린이공원,전북특별자치도 전주시 덕진구 호반6길 26-5,35.85229684,127.1186639,1791.4
여울목공원,어린이공원,전북특별자치도 전주시 덕진구 호반6길 26-5,35.85229684,127.1186639,2515.8
월평공원,어린이공원,전북특별자치도 전주시 덕진구 만성동 1188-6,35.835815,127.073567,1592.1
월방공원,소공원,전북특별자치도 전주시 덕진구 만성동 1194-3,35.83466855,127.0726077,6035.2
월방공원,어린이공원,전북특별자치도 전주시 덕진구 만성동 1201-8,35.8331288849,127.0715555044,1756.8
기린공원,근린공원,전북특별자치도 전주시 덕진구 한배미6길 23,35.82258424,127.1692571,2544787
마당재공원,근린공원,전북특별자치도 전주시 덕진구 인후동1가 925,35.82402423,127.162349,13865
기지재,수변공원,전북특별자치도 전주시 덕진구 장동 1094,35.84124785,127.0644982,191762
여의공원,어린이공원,전북특별자치도 전주시 덕진구 반월동 248-27,35.8717844029,127.0758291846,1496
179호 붓내구역,소공원,전북특별자치도 전주시 덕진구 송천동2가 270-5,35.8680381,127.1235233,197
160호 붓내구역,소공원,전북특별자치도 전주시 덕진구 붓내5길 11,35.8687265,127.122497,133
우아구역,소공원,전북특별자치도 전주시 덕진구 우아동3가 386-1,35.8432668861,127.1649354339,425
원중공원,소공원,전북특별자치도 전주시 덕진구 장동 1092-1,35.843344,127.0638563,3987.9
정문공원,소공원,전북특별자치도 전주시 덕진구 중동 779-15,35.835826,127.0599446,431.5
중동공원,근린공원,전북특별자치도 전주시 덕진구 중동 787-11,35.833591,127.0621413,20625.8
만성어린 5,어린이공원,전북특별자치도 전주시 덕진구 만성동 1346-7,35.8483202474,127.0822396444,1513.6
만성수변,수변공원,전북특별자치도 전주시 덕진구 만성동 1267-2,35.8424236377,127.0699863562,55047
만성어린 1,어린이공원,전북특별자치도 전주시 덕진구 만성동 1275-4,35.8403681001,127.0724995944,1879
만성지구 1,근린공원,전북특별자치도 전주시 덕진구 만성동 447,35.841164,127.0744742,58533
만성어린 4,어린이공원,전북특별자치도 전주시 덕진구 만성동 1370-7,35.8438792476,127.0807728520,6896.6
